_league,_season,PLAYER,TEAM,SEASON,ROLE,ADV ROLE,NAT,HEIGHT,AGE,GP,W,L,W%,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,ST,BLK,PF,DF,EFF,+/-,POSS,USG%,PPP,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,eFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT RATIO,TOV%,LTOV%,DTOV%,AST%,AST% (2P),AST% (3P),AST% (FT),AST RATIO,ORB%,ORB% (2P),ORB% (3P),ORB% (FT),DRB%,DRB% (2P),DRB% (3P),DRB% (FT),TRB%,ST%,BLK%,BLK% (2P),BLK% (3P),PER,OWS,DWS,WS,WS 40min,OBPM,DBPM,BPM,VORP
Euroleague,2021-2022,Abalde A.,Real Madrid,2021-2022,F,SPOT-UP SHOOTER,ESP,202,26,25,18,7,72.0,470.0,152,34,75,45.3,21,58,36.2,55,133,41.4,21,28,75.0,14,61,75,38,31,11,0,45,32,145,15,177,18.5,0.859,106.6,102.4,4.2,99.1,100.4,-1.3,49.2,52.1,6.8,1.83,19.2,0.88,16.4,0.55,3.4,1.0,29.4,1.1,7.3,17.5,9.6,7.9,11.7,13.2,14.7,3.4,17.7,3.4,3.0,4.2,0.0,16.3,16.9,16.3,5.6,9.6,1.3,0.0,0.0,0.0,10.1,-0.1,1.2,1.2,0.082,-2.0,1.1,-1.0,0.3
Euroleague,2021-2022,Abrines A.,FC Barcelona,2021-2022,F,OFF-SCREEN SHOOTER,ESP,198,28,6,3,3,50.0,92.0,51,3,7,42.9,15,22,68.2,18,29,62.1,0,0,0.0,2,7,9,0,5,1,1,13,2,33,-23,34,18.5,1.5,116.7,127.3,-10.6,122.3,121.7,0.6,87.9,87.9,2.9,2.0,11.8,0.0,5.9,2.0,11.8,2.25,52.9,2.0,0.0,14.7,5.9,8.8,0.0,0.0,0.0,0.0,0.0,2.9,2.8,3.2,0.0,11.5,6.3,26.3,0.0,6.9,0.6,0.8,1.2,0.0,16.6,0.2,0.2,0.3,0.065,2.7,-0.6,2.1,0.4
Euroleague,2021-2022,Akpinar I.,Fenerbahçe SK,2021-2022,SG,SPOT-UP SHOOTER,GER,193,27,14,6,8,42.9,163.0,67,6,14,42.9,15,36,41.7,21,50,42.0,10,11,90.9,0,10,10,13,8,2,1,36,23,39,28,62,19.0,1.081,120.3,110.3,10.0,111.8,107.3,4.5,57.0,62.0,4.8,2.0,14.5,0.67,3.2,0.0,11.3,0.43,46.8,1.45,6.5,12.9,8.1,4.8,10.0,9.6,14.3,7.0,17.3,0.0,0.0,0.0,0.0,8.3,6.6,12.2,0.0,4.1,0.7,0.5,0.0,0.0,10.9,0.1,0.2,0.3,0.081,-0.7,-2.5,-3.1,-0.1
Euroleague,2021-2022,Alocen C.,Real Madrid,2021-2022,SG,SCORER,ESP,194,21,9,7,2,77.8,98.0,24,5,15,33.3,2,16,12.5,7,31,22.6,8,10,80.0,5,7,12,14,7,3,0,10,14,22,-33,43,22.2,0.558,91.4,108.4,-17.0,96.1,105.1,-9.0,25.8,33.3,4.7,2.0,20.9,0.44,9.3,0.5,9.3,0.75,27.9,0.25,11.6,16.3,11.6,4.7,26.2,18.8,41.2,22.2,24.6,5.3,4.8,5.8,0.0,10.0,14.3,6.5,0.0,7.3,1.8,0.0,0.0,0.0,5.6,-0.1,0.1,0.1,0.031,-3.2,-1.6,-4.8,-0.1
Euroleague,2021-2022,Alviti D.,Olimpia Milano,2021-2022,F,OFF-SCREEN SHOOTER,ITA,200,25,3,2,1,66.7,56.0,18,1,4,25.0,4,9,44.4,5,13,38.5,4,6,66.7,2,10,12,2,0,1,0,3,3,23,4,16,14.7,1.125,118.1,116.3,1.8,114.0,110.2,3.8,53.8,56.3,6.3,0.0,6.3,0.0,12.5,1.0,18.8,2.0,37.5,1.0,18.8,0.0,0.0,0.0,4.5,3.4,12.5,0.0,11.1,4.8,0.0,10.5,0.0,25.6,40.9,6.3,0.0,14.8,1.1,0.0,0.0,0.0,13.2,0.0,0.1,0.1,0.049,-2.4,0.7,-1.6,0.0
Euroleague,2021-2022,Anderson J.,Anadolu Efes Istanbul,2021-2022,F,SCORER,USA,198,33,22,11,11,50.0,287.0,73,19,37,51.4,9,18,50.0,28,55,50.9,8,9,88.9,20,46,66,11,8,9,1,26,11,106,-3,65,11.5,1.123,120.4,117.0,3.4,134.6,107.2,27.4,59.1,64.0,10.8,1.71,36.9,0.83,9.2,1.0,3.1,1.5,24.6,1.5,3.1,12.3,6.2,6.2,4.7,4.1,10.3,0.0,14.5,9.3,6.5,13.2,0.0,18.8,16.7,20.6,25.0,14.4,1.8,0.2,0.0,0.0,13.1,0.6,0.7,1.3,0.133,0.0,1.3,1.3,0.7
Euroleague,2021-2022,Andjusic D.,AS Monaco Basket,2021-2022,PG,SCORER,SRB,194,31,26,13,13,50.0,433.0,205,30,73,41.1,30,72,41.7,60,145,41.4,55,63,87.3,5,26,31,25,33,6,1,45,63,158,-13,205,22.9,1.0,108.3,111.4,-3.1,105.1,107.5,-2.4,51.7,59.6,2.9,1.0,19.5,0.7,13.2,0.96,2.0,0.0,33.2,1.32,13.2,16.1,8.8,7.3,8.3,8.4,10.7,5.4,10.9,1.3,1.9,0.7,0.0,7.1,4.7,10.8,0.0,4.2,0.8,0.2,0.3,0.0,13.2,0.2,0.6,0.8,0.065,-0.2,-2.8,-3.1,-0.3
Euroleague,2021-2022,Antetokounmpo K.,ASVEL Villeurbanne,2021-2022,C,RIM RUNNER,GRE,208,24,26,7,19,26.9,341.0,151,61,85,71.8,2,5,40.0,63,90,70.0,23,42,54.8,22,46,68,8,21,14,19,58,52,185,-70,130,19.1,1.162,100.5,111.3,-10.8,110.2,99.0,11.2,71.1,69.3,40.8,1.85,21.5,0.86,3.1,0.0,0.0,0.0,3.8,1.2,14.6,16.2,6.2,10.0,3.8,4.3,3.8,2.3,5.8,8.1,12.0,3.4,0.0,15.9,13.3,16.3,28.0,12.1,2.3,3.7,5.5,0.5,20.5,0.2,0.7,1.0,0.115,-1.2,2.4,1.1,0.6
Euroleague,2021-2022,Antonov S.,PBC CSKA Moscow,2021-2022,PF,SPOT-UP SHOOTER,RUS,202,32,16,9,7,56.3,154.0,47,11,17,64.7,8,22,36.4,19,39,48.7,1,2,50.0,9,9,18,1,2,4,4,23,4,29,3,42,13.0,1.119,113.7,110.1,3.6,115.0,104.7,10.3,59.0,58.8,14.3,1.67,19.0,0.75,7.1,2.0,4.8,0.0,47.6,1.2,2.4,4.8,2.4,2.4,0.9,0.0,2.9,0.0,2.3,6.4,8.3,4.8,0.0,7.3,7.8,5.6,25.0,6.8,1.4,1.7,2.8,0.0,11.9,0.1,0.2,0.3,0.084,-0.6,0.1,-0.5,0.1
Euroleague,2021-2022,Bacon D.,AS Monaco Basket,2021-2022,SG/F,SCORER,USA,198,26,24,14,10,58.3,595.0,330,84,184,45.7,36,87,41.4,120,271,44.3,54,67,80.6,11,63,74,21,27,23,0,57,53,248,79,324,26.5,1.019,118.4,112.2,6.2,112.3,103.0,9.3,50.9,55.6,7.7,1.44,38.0,0.91,11.1,0.56,0.6,1.5,26.2,1.24,8.0,8.3,2.8,5.6,4.8,3.6,10.1,3.1,6.1,2.3,2.2,2.4,2.6,12.4,10.9,13.4,17.9,7.5,2.2,0.0,0.0,0.0,17.9,1.0,1.2,2.2,0.118,0.0,-2.0,-1.9,0.0
