_league,_season,PLAYER,TEAM,SEASON,ROLE,ADV ROLE,NAT,HEIGHT,AGE,GP,W,L,W%,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,ST,BLK,PF,DF,EFF,+/-,POSS,USG%,PPP,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,eFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT RATIO,TOV%,LTOV%,DTOV%,AST%,AST% (2P),AST% (3P),AST% (FT),AST RATIO,ORB%,ORB% (2P),ORB% (3P),ORB% (FT),DRB%,DRB% (2P),DRB% (3P),DRB% (FT),TRB%,ST%,BLK%,BLK% (2P),BLK% (3P),PER,OWS,DWS,WS,WS 40min,OBPM,DBPM,BPM,VORP,MPG,PPG,PREVIOUS_PPG,PREVIOUS_MPG,NEXT_PPG
Euroleague,2021-2022,Abalde A.,Real Madrid,2021-2022,F,SPOT-UP SHOOTER,ESP,202,26,25,18,7,72.0,470.0,152,34,75,45.3,21,58,36.2,55,133,41.4,21,28,75.0,14,61,75,38,31,11,0,45,32,145,15,177,18.5,0.859,106.6,102.4,4.2,99.1,100.4,-1.3,49.2,52.1,6.8,1.83,19.2,0.88,16.4,0.55,3.4,1.0,29.4,1.1,7.3,17.5,9.6,7.9,11.7,13.2,14.7,3.4,17.7,3.4,3.0,4.2,0.0,16.3,16.9,16.3,5.6,9.6,1.3,0.0,0.0,0.0,10.1,-0.1,1.2,1.2,0.082,-2.0,1.1,-1.0,0.3,18.8,6.08,6.08,18.8,2.625
Euroleague,2022-2023,Abalde A.,Real Madrid,2022-2023,F,SPOT-UP SHOOTER,ESP,202,27,24,16,8,66.7,344.0,63,10,27,37.0,9,36,25.0,19,63,30.2,16,24,66.7,10,40,50,38,14,7,0,40,20,70,41,88,12.8,0.716,114.8,106.4,8.4,106.1,101.0,5.1,37.3,42.6,5.7,2.0,13.6,0.5,11.4,0.4,0.0,0.0,39.8,0.77,12.5,15.9,8.0,8.0,13.6,10.8,25.0,6.8,30.2,3.8,5.0,3.1,0.0,12.3,12.5,12.9,0.0,8.5,1.1,0.0,0.0,0.0,6.5,0.0,0.8,0.8,0.091,-2.1,0.1,-1.9,0.0,14.333333333333334,2.625,6.08,18.8,3.590909090909091
Euroleague,2023-2024,Abalde A.,Real Madrid,2023-2024,F,SCORER,ESP,202,28,22,18,4,81.8,295.0,79,9,18,50.0,18,45,40.0,27,63,42.9,7,8,87.5,6,39,45,16,5,10,1,25,9,91,45,72,14.3,1.097,132.6,103.1,29.5,121.8,98.0,23.8,57.1,59.0,4.2,1.33,16.7,0.83,4.2,1.33,1.4,0.0,61.1,1.23,5.6,6.9,2.8,4.2,7.1,6.7,9.8,5.0,18.2,2.6,1.9,3.4,0.0,13.7,11.3,17.4,11.1,8.8,1.9,0.2,0.3,0.0,11.7,0.3,0.8,1.1,0.141,0.4,1.4,1.9,0.6,13.409090909090908,3.590909090909091,2.625,14.333333333333334,5.545454545454546
Euroleague,2024-2025,Abalde A.,Real Madrid,2024-2025,F,SPOT-UP SHOOTER,ESP,202,29,33,20,13,60.6,608.0,183,34,60,56.7,33,75,44.0,67,135,49.6,16,18,88.9,15,62,77,48,18,15,0,60,20,194,72,160,12.7,1.144,118.0,108.9,9.1,126.7,103.9,22.8,61.9,64.4,3.8,1.67,23.1,1.3,10.6,0.59,3.1,2.4,43.8,1.24,4.4,11.3,5.6,5.6,9.5,7.3,20.4,5.2,23.1,3.0,2.3,4.2,0.0,11.0,10.5,11.8,9.1,7.3,1.3,0.0,0.0,0.0,13.0,1.1,1.5,2.5,0.138,1.0,1.4,2.3,1.8,18.424242424242426,5.545454545454546,3.590909090909091,13.409090909090908,4.885714285714286
Euroleague,2023-2024,Abass A.,Virtus Bologna,2023-2024,F,SPOT-UP SHOOTER,ITA,200,31,29,15,14,51.7,352.0,117,21,39,53.8,22,68,32.4,43,107,40.2,9,11,81.8,17,31,48,12,6,11,2,30,11,95,-98,118,18.6,0.992,117.8,115.6,2.2,105.0,111.5,-6.5,50.5,52.2,15.3,1.56,12.7,0.8,5.1,0.33,9.3,1.36,48.3,0.89,4.2,5.1,1.7,3.4,5.0,3.9,12.8,0.0,9.2,5.4,6.5,4.9,0.0,10.7,10.7,8.8,22.2,7.9,1.7,0.4,0.6,0.0,12.1,0.0,0.6,0.6,0.061,-1.0,-1.3,-2.2,-0.1,12.137931034482758,4.0344827586206895,6.714285714285714,16.714285714285715,3.2
Euroleague,2022-2023,Abrines A.,FC Barcelona,2022-2023,F,OFF-SCREEN SHOOTER,ESP,198,29,30,20,10,66.7,510.0,211,15,40,37.5,53,108,49.1,68,148,45.9,22,26,84.6,18,42,60,27,18,17,3,69,38,184,84,178,17.5,1.185,118.0,108.3,9.7,118.6,102.5,16.1,63.9,65.9,3.9,1.14,10.7,0.84,7.9,0.43,3.9,0.86,55.6,1.55,6.7,10.1,3.9,6.2,7.2,6.5,11.9,3.8,13.2,4.5,3.4,5.4,9.1,10.0,9.8,7.8,35.3,7.3,1.9,0.4,0.4,0.0,15.4,0.5,1.3,1.8,0.114,2.8,0.7,3.5,1.9,17.0,7.033333333333333,8.5,15.333333333333334,6.590909090909091
Euroleague,2023-2024,Abrines A.,FC Barcelona,2023-2024,F,OFF-SCREEN SHOOTER,ESP,198,30,22,14,8,63.6,368.0,145,15,25,60.0,33,73,45.2,48,98,49.0,16,18,88.9,14,30,44,8,13,11,7,47,37,140,52,118,17.8,1.229,138.9,108.0,30.9,118.6,102.7,15.9,65.8,69.0,4.2,1.6,12.7,1.07,4.2,1.2,5.1,1.0,55.9,1.41,5.9,11.0,5.9,5.1,2.7,2.2,9.1,0.0,6.4,4.4,3.9,5.7,0.0,8.8,8.1,9.2,12.0,6.6,1.7,1.2,1.3,0.5,14.2,0.3,1.0,1.4,0.117,1.8,1.4,3.2,1.3,16.727272727272727,6.590909090909091,7.033333333333333,17.0,4.774193548387097
Euroleague,2022-2023,Adams J.,Maccabi Tel Aviv BC,2022-2023,PG,SCORER,USA,191,27,23,11,12,47.8,367.0,154,36,76,47.4,20,56,35.7,56,132,42.4,22,26,84.6,8,24,32,31,23,13,2,41,26,107,-43,167,21.4,0.922,115.1,123.6,-8.5,107.9,115.0,-7.1,50.0,53.5,7.2,1.5,28.1,0.89,10.2,0.71,2.4,3.0,31.1,0.92,7.2,13.8,9.6,4.2,11.1,11.7,14.5,6.5,15.7,2.4,2.9,2.3,0.0,8.2,10.2,5.6,14.3,5.2,2.0,0.4,0.3,0.4,12.4,0.1,0.3,0.4,0.044,-1.4,-1.0,-2.4,-0.1,15.956521739130435,6.695652173913044,6.695652173913044,15.956521739130435,5.666666666666667
Euroleague,2024-2025,Ajinca M.,ASVEL Villeurbanne,2024-2025,F,SPOT-UP SHOOTER,FRA,203,21,26,10,16,38.5,388.0,147,16,32,50.0,35,82,42.7,51,114,44.7,10,11,90.9,7,25,32,9,17,2,0,45,14,73,-99,134,16.5,1.097,110.3,122.5,-12.2,102.0,116.9,-14.9,60.1,62.8,5.2,1.43,13.4,0.89,5.2,0.86,9.0,1.25,52.2,1.29,2.2,12.7,5.2,7.5,3.2,2.5,7.8,1.5,6.3,1.9,0.0,4.0,0.0,8.3,4.5,10.1,18.5,4.8,0.3,0.0,0.0,0.0,8.7,-0.1,0.3,0.2,0.022,-2.0,-2.3,-4.3,-0.5,14.923076923076923,5.653846153846154,5.653846153846154,14.923076923076923,5.933333333333334
Euroleague,2024-2025,Akele N.,Virtus Bologna,2024-2025,PF,OFF-BALL PLAYER,ITA,203,29,16,4,12,25.0,165.0,51,21,26,80.8,3,4,75.0,24,30,80.0,0,0,0.0,7,19,26,1,5,5,1,21,5,57,-15,35,10.7,1.457,113.9,115.5,-1.6,134.7,109.1,25.6,85.0,85.0,17.1,2.0,45.7,1.38,11.4,2.0,5.7,3.0,5.7,1.5,0.0,14.3,8.6,5.7,0.8,1.6,0.0,0.0,2.8,5.4,5.2,6.2,0.0,15.4,19.0,8.6,60.0,10.3,1.7,0.4,0.7,0.0,13.6,0.2,0.2,0.4,0.1,-2.2,0.6,-1.6,0.0,10.3125,3.1875,3.1875,10.3125,2.576923076923077
Euroleague,2021-2022,Anderson J.,Anadolu Efes Istanbul,2021-2022,F,SCORER,USA,198,33,22,11,11,50.0,287.0,73,19,37,51.4,9,18,50.0,28,55,50.9,8,9,88.9,20,46,66,11,8,9,1,26,11,106,-3,65,11.5,1.123,120.4,117.0,3.4,134.6,107.2,27.4,59.1,64.0,10.8,1.71,36.9,0.83,9.2,1.0,3.1,1.5,24.6,1.5,3.1,12.3,6.2,6.2,4.7,4.1,10.3,0.0,14.5,9.3,6.5,13.2,0.0,18.8,16.7,20.6,25.0,14.4,1.8,0.2,0.0,0.0,13.1,0.6,0.7,1.3,0.133,0.0,1.3,1.3,0.7,13.045454545454545,3.3181818181818183,3.3181818181818183,13.045454545454545,6.111111111111111
