PLAYER,SEASON,AGE,MPG,PPG,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,GP,W,+/-,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
Abalde A.,2024-2025,29,18.424242424242426,5.545454545454546,77,48,0,15,18,60,16,33,33,20,72,0.6060606060606061,2,4.885714285714286,6.0
Ajinca M.,2024-2025,21,14.923076923076923,5.653846153846154,32,9,0,2,17,45,10,35,26,10,-99,0.38461538461538464,6,5.933333333333334,6.7
Akele N.,2024-2025,29,10.3125,3.1875,26,1,1,5,5,21,0,3,16,4,-15,0.25,2,2.576923076923077,4.2
Anderson J.,2024-2025,31,18.612903225806452,6.645161290322581,83,36,9,22,15,58,32,24,31,19,-36,0.6129032258064516,4,6.09375,6.2
Baldwin K.,2024-2025,27,21.4,7.12,42,93,5,22,23,61,20,20,25,11,50,0.44,0,6.666666666666667,6.9
Baldwin W.,2024-2025,29,24.09090909090909,11.045454545454545,58,81,3,18,51,43,58,21,22,13,-20,0.5909090909090909,2,14.305555555555555,12.3
Beaubois R.,2024-2025,37,19.0,9.0625,44,51,8,23,17,63,19,55,32,18,92,0.5625,10,5.15,7.1
Biberovic T.,2024-2025,24,22.46875,9.8125,101,48,6,15,42,78,24,66,32,22,92,0.6875,3,10.485714285714286,7.3
Birch K.,2024-2025,32,12.935483870967742,3.5806451612903225,107,20,13,14,25,69,25,0,31,21,-16,0.6774193548387096,5,3.5945945945945947,6.1
Birutis L.,2024-2025,27,13.06060606060606,5.393939393939394,91,12,17,5,24,77,34,0,33,15,57,0.45454545454545453,0,4.333333333333333,6.2
Blatt T.,2024-2025,28,24.26923076923077,8.884615384615385,62,175,0,12,75,34,38,53,26,7,-49,0.2692307692307692,1,7.108108108108108,7.1
Blossomgame J.,2024-2025,31,23.03030303030303,7.818181818181818,131,16,5,13,15,66,33,21,33,20,52,0.6060606060606061,4,9.054054054054054,6.9
Bolmaro L.,2024-2025,24,22.4,6.92,59,77,5,27,29,47,31,8,25,10,-41,0.4,3,9.857142857142858,6.9
Bolomboy J.,2024-2025,31,24.166666666666668,10.166666666666666,151,11,15,17,25,45,28,3,18,11,26,0.6111111111111112,4,6.3076923076923075,7.2
Bonga I.,2024-2025,25,25.06896551724138,7.551724137931035,130,34,15,22,20,63,39,40,29,14,32,0.4827586206896552,2,10.108108108108109,7.5
Booker D.,2024-2025,34,25.73076923076923,14.884615384615385,124,42,5,19,42,69,71,28,26,14,-5,0.5384615384615384,7,8.257142857142858,15.3
Brazdeikis I.,2024-2025,26,17.214285714285715,8.0,88,39,4,10,26,43,38,16,28,13,-17,0.4642857142857143,1,5.142857142857143,6.8
Brizuela D.,2024-2025,30,17.833333333333332,9.333333333333334,42,65,3,12,35,53,36,48,30,18,90,0.6,3,8.971428571428572,7.8
Brooks A.,2024-2025,27,14.96875,7.625,65,25,3,16,17,45,28,50,32,17,7,0.53125,0,13.054054054054054,7.2
Brown L.,2024-2025,34,15.548387096774194,6.806451612903226,62,85,2,25,37,35,29,24,31,19,-14,0.6129032258064516,7,5.833333333333333,7.1
Brown S.,2024-2025,30,25.96969696969697,12.606060606060606,100,71,6,27,45,72,39,69,33,16,62,0.48484848484848486,3,13.722222222222221,9.3
Bryant E.,2024-2025,30,26.625,13.78125,132,105,7,36,71,84,78,45,32,19,75,0.59375,3,16.09090909090909,13.8
Butkevicius A.,2024-2025,32,22.28125,4.59375,121,36,10,34,24,82,26,27,32,15,55,0.46875,5,5.7272727272727275,4.3
Calathes N.,2024-2025,36,18.454545454545453,4.181818181818182,27,45,1,10,17,23,0,6,11,7,-8,0.6363636363636364,9,4.266666666666667,5.9
Campazzo F.,2024-2025,34,25.939393939393938,12.242424242424242,100,210,2,37,78,73,120,42,33,20,137,0.6060606060606061,7,11.72972972972973,10.5
Cavaliere L.,2024-2025,29,10.882352941176471,2.8823529411764706,87,14,0,9,17,68,14,4,34,19,-120,0.5588235294117647,2,3.111111111111111,4.6
