PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,FG%,TS%,USG%,NET_RATING,WIN_RATE,PEAK_AGE_DIST,GP_RATE,PREV_PPG,PREV_PPG_2,PPG_TREND,PREV_USG%,PREV_GP,REALE_NEXT_PPG,PREDIZIONE
A.J. Lawson,2023-24,23.0,198.12,7.4,3.2,42,27,1.2,0.5,0.446,0.519,0.18,1.2,0.643,4.0,0.5121951219512195,3.7,3.7,-0.5,0.189,15.0,9.1,5.2
AJ Green,2023-24,24.0,193.04,11.0,4.5,56,35,1.1,0.5,0.423,0.617,0.15,3.5,0.625,3.0,0.6829268292682927,4.4,4.4,0.09999999999999964,0.159,35.0,7.4,6.2
Aaron Gordon,2023-24,28.0,203.2,31.5,13.9,73,49,6.5,3.5,0.556,0.607,0.174,8.7,0.671,1.0,0.8902439024390244,16.3,15.0,-2.4000000000000004,0.206,68.0,14.7,13.6
Aaron Holiday,2023-24,27.0,182.88,16.3,6.6,78,39,1.6,1.8,0.446,0.578,0.158,2.9,0.5,0.0,0.9512195121951219,3.9,6.3,2.6999999999999997,0.129,63.0,5.5,6.6
Aaron Nesmith,2023-24,24.0,198.12,27.7,12.2,72,41,3.8,1.5,0.496,0.631,0.158,4.3,0.569,3.0,0.8780487804878049,10.1,3.8,2.0999999999999996,0.168,73.0,12.0,12.0
Aaron Wiggins,2023-24,25.0,195.58,15.7,6.9,78,55,2.4,1.1,0.562,0.664,0.163,5.7,0.705,2.0,0.9512195121951219,6.8,8.3,0.10000000000000053,0.143,70.0,12.0,8.4
Al Horford,2023-24,38.0,205.74,26.8,8.6,65,51,6.4,2.6,0.511,0.65,0.119,11.4,0.785,11.0,0.7926829268292683,9.8,10.2,-1.200000000000001,0.119,63.0,9.0,7.1
Alec Burks,2023-24,32.0,195.58,18.4,10.4,66,18,2.3,1.3,0.369,0.536,0.234,-10.7,0.273,5.0,0.8048780487804879,12.8,11.7,-2.4000000000000004,0.218,51.0,7.3,8.4
Alex Caruso,2023-24,30.0,195.58,28.7,10.1,71,34,3.8,3.5,0.468,0.613,0.146,0.3,0.479,3.0,0.8658536585365854,5.6,7.4,4.5,0.109,67.0,7.1,8.3
Alex Len,2023-24,31.0,213.36,9.3,2.5,48,24,2.7,1.0,0.617,0.625,0.114,15.4,0.5,4.0,0.5853658536585366,1.7,6.0,0.8,0.132,26.0,1.6,1.8
Alperen Sengun,2023-24,21.0,210.82,32.5,21.1,63,29,9.3,5.0,0.537,0.585,0.27,0.8,0.46,6.0,0.7682926829268293,14.8,9.6,6.300000000000001,0.211,75.0,19.1,21.2
Amen Thompson,2023-24,21.0,200.66,22.4,9.5,62,30,6.6,2.6,0.536,0.576,0.173,2.1,0.484,6.0,0.7560975609756098,9.5,9.5,0.0,0.173,62.0,14.1,11.4
Amir Coffey,2023-24,27.0,200.66,20.9,6.6,70,46,2.1,1.1,0.472,0.604,0.119,-3.4,0.657,0.0,0.8536585365853658,3.4,9.0,3.1999999999999997,0.128,50.0,9.7,6.5
Andre Drummond,2023-24,30.0,210.82,17.1,8.4,79,37,9.0,0.5,0.556,0.576,0.201,0.8,0.468,3.0,0.9634146341463414,6.0,7.9,2.4000000000000004,0.196,67.0,7.3,7.6
Andre Jackson Jr.,2023-24,22.0,198.12,10.0,2.2,57,33,2.0,0.9,0.5,0.596,0.097,-7.3,0.579,5.0,0.6951219512195121,2.2,2.2,0.0,0.097,57.0,3.4,4.8
Andrew Nembhard,2023-24,24.0,193.04,25.0,9.2,68,41,2.1,4.1,0.498,0.573,0.161,2.2,0.603,3.0,0.8292682926829268,9.5,9.5,-0.3000000000000007,0.159,75.0,10.0,10.3
Andrew Wiggins,2023-24,29.0,200.66,27.0,13.2,71,38,4.5,1.7,0.453,0.544,0.206,-1.3,0.535,2.0,0.8658536585365854,17.1,17.2,-3.900000000000002,0.212,37.0,18.0,12.3
Anfernee Simons,2023-24,25.0,190.5,34.4,22.6,46,11,3.6,5.5,0.43,0.568,0.276,-10.6,0.239,2.0,0.5609756097560976,21.1,17.3,1.5,0.247,62.0,19.3,20.6
Anthony Black,2023-24,20.0,200.66,16.9,4.6,69,39,2.0,1.3,0.466,0.56,0.123,-1.0,0.565,7.0,0.8414634146341463,4.6,4.6,0.0,0.123,69.0,9.4,7.5
Anthony Davis,2023-24,31.0,208.28,35.5,24.7,76,45,12.6,3.5,0.556,0.621,0.261,2.6,0.592,4.0,0.926829268292683,25.9,23.2,-1.1999999999999993,0.277,56.0,24.7,23.2
Anthony Edwards,2023-24,22.0,193.04,35.1,25.9,79,54,5.4,5.1,0.461,0.575,0.314,7.3,0.684,5.0,0.9634146341463414,24.6,21.3,1.2999999999999972,0.292,79.0,27.6,26.9
Anthony Gill,2023-24,31.0,203.2,9.3,3.8,50,9,1.9,0.7,0.469,0.537,0.177,1.2,0.18,4.0,0.6097560975609756,3.3,4.1,0.5,0.116,59.0,2.5,2.2
Ausar Thompson,2023-24,21.0,198.12,25.1,8.8,63,10,6.4,1.9,0.483,0.522,0.161,-5.3,0.159,6.0,0.7682926829268293,8.8,8.8,0.0,0.161,63.0,10.1,9.4
Austin Reaves,2023-24,26.0,195.58,32.1,15.9,82,47,4.3,5.5,0.486,0.613,0.198,-1.0,0.573,1.0,1.0,13.0,7.3,2.9000000000000004,0.154,64.0,20.2,15.1
Ayo Dosunmu,2023-24,24.0,195.58,29.1,12.2,76,37,2.8,3.2,0.501,0.604,0.168,-3.3,0.487,3.0,0.926829268292683,8.6,8.8,3.5999999999999996,0.145,80.0,12.3,11.9
Bam Adebayo,2023-24,26.0,205.74,34.0,19.3,71,40,10.4,3.9,0.521,0.576,0.247,0.8,0.563,1.0,0.8658536585365854,20.4,19.1,-1.0999999999999979,0.251,75.0,18.1,19.1
Ben Sheppard,2023-24,22.0,198.12,14.3,4.4,57,32,1.6,0.9,0.393,0.524,0.125,4.7,0.561,5.0,0.6951219512195121,4.4,4.4,0.0,0.125,57.0,5.3,6.7
