PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,STL,BLK,TOV,FG%,TS%,USG%,NET_RATING,OREB_PCT,DREB_PCT,AST_PCT,WIN_RATE,PEAK_AGE_DIST,PREV_PPG,PREV_PPG_2,PREV_USG%,PREV_GP,PPG_MOMENTUM,CAREER_SEASON_NUM,REALE_NEXT_PPG,PREDIZIONE
A.J. Lawson,2023-24,23.0,198.12000000000003,7.4,3.2,42,27,1.2,0.5,0.2,0.1,0.3,0.446,0.519,0.18,1.2,0.039,0.10500000000000001,0.089,0.643,4.0,3.7,3.7,0.189,15.0,0.0,2,9.1,6.4
AJ Green,2023-24,24.0,193.04,11.0,4.5,56,35,1.1,0.5,0.2,0.1,0.2,0.423,0.617,0.15,3.5,0.015,0.089,0.068,0.625,3.0,4.4,4.4,0.159,35.0,0.0,2,7.4,6.3
Aaron Gordon,2023-24,28.0,203.2,31.5,13.9,73,49,6.5,3.5,0.8,0.6,1.4,0.556,0.607,0.174,8.7,0.078,0.129,0.147,0.671,1.0,16.3,15.0,0.206,68.0,1.9500000000000008,10,14.7,13.2
Aaron Holiday,2023-24,27.0,182.88,16.3,6.6,78,39,1.6,1.8,0.5,0.1,0.7,0.44600000000000006,0.578,0.158,2.9,0.017,0.075,0.157,0.5,0.0,3.9,6.3,0.129,63.0,-1.6499999999999992,6,5.5,6.3
Aaron Nesmith,2023-24,24.0,198.12,27.7,12.2,72,41,3.7999999999999994,1.5,0.8999999999999999,0.7,0.8999999999999999,0.49600000000000005,0.631,0.158,4.3,0.032,0.103,0.067,0.569,3.0,10.1,3.8,0.168,73.0,2.6999999999999993,4,12.0,13.5
Aaron Wiggins,2023-24,25.0,195.58,15.7,6.9,78,55,2.4,1.1,0.7,0.2,0.7,0.562,0.664,0.163,5.7,0.052,0.095,0.096,0.705,2.0,6.8,8.3,0.143,70.0,-1.5000000000000018,3,12.0,8.3
Al Horford,2023-24,38.0,205.74,26.8,8.6,65,51,6.4,2.6,0.6,1.0,0.7,0.511,0.65,0.119,11.4,0.048,0.178,0.12400000000000001,0.785,11.0,9.8,10.2,0.119,63.0,-2.2,17,9.0,7.0
Alec Burks,2023-24,32.0,195.58,18.4,10.4,66,18,2.3,1.3,0.4,0.2,0.7,0.369,0.536,0.234,-10.7,0.019,0.103,0.115,0.273,5.0,12.8,11.7,0.218,51.0,0.0500000000000005,13,7.3,6.3
Alex Caruso,2023-24,30.0,195.58,28.7,10.1,71,34,3.8000000000000003,3.5,1.7,1.0,1.4,0.468,0.613,0.146,0.3,0.031,0.103,0.167,0.479,3.0,5.6,7.400000000000001,0.109,67.0,-0.4000000000000001,7,7.1,8.5
Alex Len,2023-24,31.0,213.36,9.3,2.5,48,24,2.7000000000000006,1.0,0.20000000000000004,0.6999999999999998,0.6,0.617,0.625,0.114,15.4,0.09800000000000002,0.17899999999999996,0.142,0.5,4.0,1.6999999999999997,6.0,0.132,26.0,-2.4499999999999993,11,1.6,1.6
Alperen Sengun,2023-24,21.0,210.82,32.5,21.1,63,29,9.3,5.0,1.2,0.7,2.6,0.537,0.585,0.27,0.8,0.086,0.193,0.248,0.46,6.0,14.8,9.6,0.211,75.0,5.199999999999999,3,19.1,23.1
Amen Thompson,2023-24,21.0,200.66,22.4,9.5,62,30,6.6,2.6,1.3,0.6,1.5,0.536,0.576,0.173,2.1,0.095,0.184,0.165,0.484,6.0,9.5,9.5,0.173,62.0,0.0,1,14.1,12.3
Amir Coffey,2023-24,27.0,200.66,20.9,6.6,70,46,2.1,1.1,0.6,0.2,0.5,0.472,0.604,0.119,-3.4,0.02,0.08,0.068,0.657,0.0,3.4,9.0,0.128,50.0,0.10000000000000094,5,9.7,6.5
Andre Drummond,2023-24,30.0,210.82,17.1,8.4,79,37,9.0,0.5,0.9000000000000001,0.6,1.0,0.556,0.576,0.201,0.8,0.187,0.331,0.041,0.468,3.0,6.0,7.9,0.196,67.0,-4.450000000000001,12,7.3,5.8
