PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,ORB,DRB,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,FGM,FGA,FG%,3P%,FT%,2P%,eFG%,TS%,USG%,EFF,PER,+/-,POSS,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,OWS,DWS,WS,BPM,OBPM,DBPM,VORP,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
Abalde A.,2024-2025,29,202,18.424242424242426,5.545454545454546,33,20,15,62,77,48,0,15,18,60,16,33,67,135,49.6,44.0,88.9,56.7,61.9,64.4,12.7,194,13.0,72,160,118.0,108.9,9.1,126.7,103.9,22.8,1.1,1.5,2.5,2.3,1.0,1.4,1.8,0.6060606060606061,2,4.885714285714286,6.0
Ajinca M.,2024-2025,21,203,14.923076923076923,5.653846153846154,26,10,7,25,32,9,0,2,17,45,10,35,51,114,44.7,42.7,90.9,50.0,60.1,62.8,16.5,73,8.7,-99,134,110.3,122.5,-12.2,102.0,116.9,-14.9,-0.1,0.3,0.2,-4.3,-2.0,-2.3,-0.5,0.38461538461538464,6,5.933333333333334,5.7
Akele N.,2024-2025,29,203,10.3125,3.1875,16,4,7,19,26,1,1,5,5,21,0,3,24,30,80.0,75.0,0.0,80.8,85.0,85.0,10.7,57,13.6,-15,35,113.9,115.5,-1.6,134.7,109.1,25.6,0.2,0.2,0.4,-1.6,-2.2,0.6,0.0,0.25,2,2.576923076923077,3.9
Anderson J.,2024-2025,31,198,18.612903225806452,6.645161290322581,31,19,18,65,83,36,9,22,15,58,32,24,75,141,53.2,40.7,86.5,62.2,61.7,65.4,14.5,241,15.2,-36,173,114.9,117.3,-2.4,124.8,108.2,16.6,0.9,1.0,1.9,3.1,1.5,1.6,1.9,0.6129032258064516,4,6.09375,6.0
Baldwin K.,2024-2025,27,185,21.4,7.12,25,11,4,38,42,93,5,22,23,61,20,20,69,180,38.3,30.3,80.0,43.0,43.9,46.6,18.8,161,11.9,50,214,118.6,113.6,5.0,120.6,106.7,13.9,0.7,0.9,1.6,-2.7,-1.3,-1.4,-0.2,0.44,0,6.666666666666667,7.0
Baldwin W.,2024-2025,29,193,24.09090909090909,11.045454545454545,22,13,17,41,58,81,3,18,51,43,58,21,82,197,41.6,30.0,80.6,48.0,47.0,53.1,25.4,240,14.3,-20,280,114.3,115.4,-1.1,114.6,107.3,7.3,0.7,1.3,1.9,-1.0,-0.4,-0.6,0.4,0.5909090909090909,2,14.305555555555555,11.1
Beaubois R.,2024-2025,37,190,19.0,9.0625,32,18,6,38,44,51,8,23,17,63,19,55,108,210,51.4,46.6,86.4,57.6,64.5,67.1,18.7,258,17.8,92,233,123.6,116.4,7.2,135.1,108.2,26.9,1.2,1.0,2.2,3.2,3.6,-0.5,1.7,0.5625,10,5.15,7.6
Biberovic T.,2024-2025,24,201,22.46875,9.8125,32,22,28,73,101,48,6,15,42,78,24,66,112,252,44.4,42.0,85.7,48.4,57.5,59.7,20.7,249,14.7,92,305,122.3,114.0,8.3,110.2,106.7,3.5,0.4,1.5,2.0,1.4,1.4,0.0,1.6,0.6875,3,10.485714285714286,8.6
Birch K.,2024-2025,32,206,12.935483870967742,3.5806451612903225,31,21,49,58,107,20,13,14,25,69,25,0,43,74,58.1,0.0,73.5,58.1,58.1,62.7,14.3,163,13.4,-16,114,117.4,116.8,0.6,118.4,104.3,14.1,0.3,1.0,1.3,1.6,-1.8,3.4,1.0,0.6774193548387096,5,3.5945945945945947,5.1
Birutis L.,2024-2025,27,213,13.06060606060606,5.393939393939394,33,15,31,60,91,12,17,5,24,77,34,0,72,112,64.3,0.0,59.6,64.3,64.3,64.3,19.2,183,15.6,57,163,110.6,104.3,6.3,105.2,96.5,8.7,0.0,1.1,1.1,-1.4,-3.1,1.7,0.1,0.45454545454545453,0,4.333333333333333,6.2
Blatt T.,2024-2025,28,185,24.26923076923077,8.884615384615385,26,7,10,52,62,175,0,12,75,34,38,53,70,186,37.6,35.6,95.0,45.9,51.9,57.2,20.2,303,12.7,-49,277,117.7,123.6,-5.9,114.6,116.6,-2.0,0.6,0.5,1.1,-3.0,1.5,-4.5,-0.3,0.2692307692307692,1,7.108108108108108,8.3
Blossomgame J.,2024-2025,31,198,23.03030303030303,7.818181818181818,33,20,39,92,131,16,5,13,15,66,33,21,102,195,52.3,32.8,62.3,61.8,57.7,58.6,15.2,298,12.2,52,235,118.1,113.9,4.2,113.5,106.1,7.4,0.5,1.7,2.2,-0.4,-1.1,0.7,0.9,0.6060606060606061,4,9.054054054054054,6.8
Bolmaro L.,2024-2025,24,198,22.4,6.92,25,10,11,48,59,77,5,27,29,47,31,8,67,152,44.1,22.2,67.4,50.9,46.7,50.3,17.6,221,12.4,-41,201,114.2,117.2,-3.0,117.9,108.8,9.1,0.5,0.9,1.4,-1.3,-1.5,0.1,0.2,0.4,3,9.857142857142858,6.7
Bolomboy J.,2024-2025,31,206,24.166666666666668,10.166666666666666,18,11,61,90,151,11,15,17,25,45,28,3,76,116,65.5,37.5,73.7,67.6,66.8,68.8,18.2,298,22.3,26,158,112.4,106.3,6.1,120.4,93.0,27.4,0.4,1.3,1.7,3.4,0.2,3.2,1.3,0.6111111111111112,4,6.3076923076923075,7.9
Bonga I.,2024-2025,25,204,25.06896551724138,7.551724137931035,29,14,43,87,130,34,15,22,20,63,39,40,70,158,44.3,41.2,92.9,49.2,57.0,62.2,13.6,282,14.2,32,196,118.4,115.2,3.2,120.8,104.7,16.1,0.6,1.4,2.0,2.9,0.9,2.0,2.0,0.4827586206896552,2,10.108108108108109,6.6
Booker D.,2024-2025,34,205,25.73076923076923,14.884615384615385,26,14,47,77,124,42,5,19,42,69,71,28,144,262,55.0,38.9,81.6,61.1,60.3,64.2,24.4,425,19.4,-5,344,119.0,120.3,-1.3,113.7,111.9,1.8,0.4,0.9,1.3,-0.2,1.2,-1.3,0.7,0.5384615384615384,7,8.257142857142858,13.8
Brazdeikis I.,2024-2025,26,198,17.214285714285715,8.0,28,13,24,64,88,39,4,10,26,43,38,16,85,202,42.1,22.5,90.5,52.7,46.0,50.9,25.1,204,15.0,-17,246,108.6,110.4,-1.8,110.6,102.6,8.0,0.2,1.0,1.2,-2.7,-2.0,-0.7,-0.2,0.4642857142857143,1,5.142857142857143,7.5
Brizuela D.,2024-2025,30,187,17.833333333333332,9.333333333333334,30,18,8,34,42,65,3,12,35,53,36,48,98,211,46.4,42.5,78.3,51.0,57.8,61.1,22.8,240,16.0,90,264,120.4,115.5,4.9,121.7,109.9,11.8,1.1,1.0,2.1,-0.3,1.9,-2.2,0.6,0.6,3,8.971428571428572,8.0
Brooks A.,2024-2025,27,194,14.96875,7.625,32,17,14,51,65,25,3,16,17,45,28,50,83,193,43.0,41.3,96.6,45.8,56.0,59.5,22.4,196,16.4,7,222,118.0,116.0,2.0,116.9,108.5,8.4,0.4,0.8,1.2,-0.8,1.0,-1.8,0.3,0.53125,0,13.054054054054054,7.6
