PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,FG%,TS%,USG%,NET_RATING,OREB_PCT,DREB_PCT,AST_PCT,WIN_RATE,PEAK_AGE_DIST,GP_RATE,PREV_PPG,PREV_PPG_2,PPG_TREND,PREV_USG%,PREV_GP,PPG_ROLL3,USG_ROLL3,TS_ROLL3,NET_ROLL3,PPG_MOMENTUM,CAREER_SEASON_NUM,REALE_NEXT_PPG,PREDIZIONE
A.J. Lawson,2023-24,23.0,198.12000000000003,7.4,3.2,42,27,1.2,0.5,0.446,0.519,0.18,1.2,0.039,0.10500000000000001,0.089,0.643,4.0,0.5121951219512195,3.7,3.7,-0.5,0.189,15.0,3.7,0.189,0.589,-20.1,0.0,2,9.1,5.6
AJ Green,2023-24,24.0,193.04,11.0,4.5,56,35,1.1,0.5,0.423,0.617,0.15,3.5,0.015,0.089,0.068,0.625,3.0,0.6829268292682927,4.4,4.4,0.09999999999999964,0.159,35.0,4.4,0.159,0.607,-4.9,0.0,2,7.4,5.8
Aaron Gordon,2023-24,28.0,203.2,31.5,13.9,73,49,6.5,3.5,0.556,0.607,0.174,8.7,0.078,0.129,0.147,0.671,1.0,0.8902439024390244,16.3,15.0,-2.4000000000000004,0.206,68.0,14.566666666666668,0.20133333333333334,0.5886666666666667,6.8,1.9500000000000008,10,14.7,13.5
Aaron Holiday,2023-24,27.0,182.88,16.3,6.6,78,39,1.6,1.8,0.44600000000000006,0.578,0.158,2.9,0.017,0.075,0.157,0.5,0.0,0.9512195121951219,3.9,6.3,2.6999999999999997,0.129,63.0,5.8,0.16666666666666666,0.525,-0.23333333333333328,-1.6499999999999992,6,5.5,6.0
Aaron Nesmith,2023-24,24.0,198.12,27.7,12.2,72,41,3.7999999999999994,1.5,0.49600000000000005,0.631,0.158,4.3,0.032,0.103,0.067,0.569,3.0,0.8780487804878049,10.1,3.8,2.0999999999999996,0.168,73.0,6.2,0.155,0.5486666666666666,-0.7333333333333334,2.6999999999999993,4,12.0,12.7
Aaron Wiggins,2023-24,25.0,195.58,15.7,6.9,78,55,2.4,1.1,0.562,0.664,0.163,5.7,0.052,0.095,0.096,0.705,2.0,0.9512195121951219,6.8,8.3,0.10000000000000053,0.143,70.0,7.550000000000001,0.146,0.5815,-3.3,-1.5000000000000018,3,12.0,7.6
Al Horford,2023-24,38.0,205.74,26.8,8.6,65,51,6.4,2.6,0.511,0.65,0.119,11.4,0.048,0.178,0.12400000000000001,0.785,11.0,0.7926829268292683,9.8,10.2,-1.200000000000001,0.119,63.0,11.4,0.16233333333333333,0.581,3.4,-2.2,17,9.0,7.3
Alec Burks,2023-24,32.0,195.58,18.4,10.4,66,18,2.3,1.3,0.369,0.536,0.234,-10.7,0.019,0.103,0.115,0.273,5.0,0.8048780487804879,12.8,11.7,-2.4000000000000004,0.218,51.0,12.399999999999999,0.19899999999999998,0.5750000000000001,2.1,0.0500000000000005,13,7.3,7.1
Alex Caruso,2023-24,30.0,195.58,28.7,10.1,71,34,3.8000000000000003,3.5,0.468,0.613,0.146,0.3,0.031,0.103,0.167,0.479,3.0,0.8658536585365854,5.6,7.400000000000001,4.5,0.109,67.0,6.466666666666668,0.12766666666666665,0.5543333333333333,5.566666666666666,-0.4000000000000001,7,7.1,8.4
Alex Len,2023-24,31.0,213.36,9.3,2.5,48,24,2.7000000000000006,1.0,0.617,0.625,0.114,15.4,0.09800000000000002,0.17899999999999996,0.142,0.5,4.0,0.5853658536585366,1.6999999999999997,6.0,0.8000000000000003,0.132,26.0,4.766666666666667,0.1526666666666667,0.6,-0.9666666666666668,-2.4499999999999993,11,1.6,2.4
Alperen Sengun,2023-24,21.0,210.82,32.5,21.1,63,29,9.3,5.0,0.537,0.585,0.27,0.8,0.086,0.193,0.248,0.46,6.0,0.7682926829268293,14.8,9.6,6.300000000000001,0.211,75.0,12.2,0.2125,0.5755,-9.0,5.199999999999999,3,19.1,22.1
Amen Thompson,2023-24,21.0,200.66,22.4,9.5,62,30,6.6,2.6,0.536,0.576,0.173,2.1,0.095,0.184,0.165,0.484,6.0,0.7560975609756098,9.5,9.5,0.0,0.173,62.0,9.5,0.173,0.576,2.1,0.0,1,14.1,11.6
Amir Coffey,2023-24,27.0,200.66,20.9,6.6,70,46,2.1,1.1,0.472,0.604,0.119,-3.4,0.02,0.08,0.068,0.657,0.0,0.8536585365853658,3.4,9.0,3.1999999999999997,0.128,50.0,5.2,0.14233333333333334,0.5603333333333333,-3.6666666666666665,0.10000000000000094,5,9.7,5.7
Andre Drummond,2023-24,30.0,210.82,17.1,8.4,79,37,9.0,0.5,0.556,0.576,0.201,0.8,0.187,0.331,0.041,0.468,3.0,0.9634146341463414,6.0,7.9,2.4000000000000004,0.196,67.0,9.600000000000001,0.21533333333333335,0.5663333333333334,0.36666666666666653,-4.450000000000001,12,7.3,7.2
