PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,_season
2062,A.J. Guyton,1610612741,CHI,24.0,6-1,73.0,180,Indiana,USA,2000,2,32,45,5.4,1.0,1.8,-3.9,0.019,0.057,0.217,0.477,0.248,2001-02
243,Aaron McKie,1610612755,PHI,29.0,6-5,77.0,209,Temple,USA,1994,1,17,48,12.2,4.0,3.7,3.5,0.018,0.112,0.196,0.54,0.22,2001-02
1425,Aaron Williams,1610612751,NJN,30.0,6-9,81.0,240,Xavier,USA,Undrafted,Undrafted,Undrafted,82,7.2,4.1,0.9,4.7,0.077,0.142,0.177,0.568,0.084,2001-02
1502,Adonal Foyle,1610612744,GSW,27.0,6-10,82.0,265,Colgate,St. Vincent & Grenadines,1997,1,8,79,4.8,4.9,0.5,-6.8,0.091,0.153,0.143,0.445,0.044,2001-02
1559,Adrian Griffin,1610612742,DAL,27.0,6-5,77.0,215,Seton Hall,USA,Undrafted,Undrafted,Undrafted,58,7.2,3.9,1.8,6.1,0.051,0.116,0.134,0.545,0.108,2001-02
1733,Al Harrington,1610612754,IND,22.0,6-9,81.0,250,None,USA,1998,1,25,44,13.1,6.3,1.2,-1.6,0.074,0.134,0.215,0.526,0.073,2001-02
673,Alan Henderson,1610612737,ATL,29.0,6-9,81.0,240,Indiana,USA,1995,1,16,26,5.5,3.7,0.4,2.8,0.076,0.151,0.167,0.527,0.043,2001-02
275,Allan Houston,1610612752,NYK,31.0,6-6,78.0,200,Tennessee,USA,1993,1,11,77,20.4,3.3,2.5,-5.9,0.013,0.076,0.252,0.54,0.123,2001-02
947,Allen Iverson,1610612755,PHI,27.0,6-0,72.0,165,Georgetown,USA,1996,1,1,60,31.4,4.5,5.5,5.5,0.017,0.084,0.365,0.489,0.266,2001-02
297,Alonzo Mourning,1610612748,MIA,32.0,6-10,82.0,261,Georgetown,USA,1992,1,2,75,15.7,8.4,1.2,2.0,0.08,0.185,0.24,0.558,0.067,2001-02
2228,Alton Ford,1610612756,PHX,21.0,6-9,81.0,275,Houston,USA,2001,2,50,53,3.1,2.0,0.1,-10.6,0.071,0.168,0.167,0.573,0.027,2001-02
2264,Alvin Jones,1610612755,PHI,23.0,6-11,83.0,265,Georgia Tech,USA,2001,2,56,23,1.1,1.6,0.1,-4.4,0.112,0.207,0.138,0.451,0.036,2001-02
1541,Alvin Williams,1610612761,TOR,27.0,6-5,77.0,185,Villanova,USA,1997,2,47,82,11.8,3.4,5.7,-0.5,0.019,0.077,0.181,0.47,0.262,2001-02
