iter	RMSE
0	5.928124522
1	5.701495746
2	5.483625781
3	5.281556677
4	5.096812087
5	4.924697201
6	4.767890528
7	4.614129145
8	4.473655509
9	4.343387841
10	4.222432781
11	4.120845988
12	4.019429072
13	3.930927998
14	3.856201694
15	3.776959067
16	3.704201781
17	3.641036738
18	3.578547007
19	3.526200539
20	3.474835392
21	3.425309993
22	3.379659208
23	3.33890169
24	3.302109395
25	3.267268613
26	3.23554174
27	3.206945608
28	3.181665086
29	3.161168102
30	3.139575131
31	3.117584206
32	3.096567068
33	3.077437667
34	3.062027092
35	3.047014562
36	3.031989889
37	3.017198002
38	3.003560744
39	2.990547987
40	2.979245729
41	2.972054938
42	2.964273151
43	2.956579953
44	2.948593361
45	2.940359699
46	2.933575747
47	2.927741489
48	2.92140198
49	2.915514715
50	2.909242716
51	2.905200325
52	2.899887912
53	2.895840409
54	2.892112159
55	2.887990879
56	2.88351664
57	2.880327547
58	2.875968921
59	2.87207529
60	2.868938275
61	2.865870907
62	2.86324494
63	2.860755671
64	2.857577344
65	2.854845926
66	2.851994437
67	2.849535945
68	2.846876278
69	2.845254726
70	2.843491892
71	2.841604479
72	2.839254417
73	2.837634278
74	2.835710704
75	2.83445085
76	2.833178322
77	2.831268746
78	2.829747913
79	2.828490802
80	2.826410721
81	2.82512627
82	2.823540643
83	2.822225021
84	2.820898423
85	2.81954713
86	2.818667962
87	2.817196995
88	2.816063063
89	2.814515983
90	2.812509329
91	2.811382734
92	2.810294143
93	2.808997501
94	2.807467458
95	2.806793161
96	2.805789144
97	2.804332021
98	2.803016088
99	2.802200681
100	2.801438478
101	2.80054868
102	2.798996979
103	2.797516305
104	2.79653989
105	2.795828137
106	2.795047269
107	2.794235762
108	2.793204293
109	2.792398484
110	2.791719916
111	2.790894561
112	2.790181623
113	2.789660959
114	2.788532945
115	2.787772236
116	2.787058891
117	2.785756031
118	2.784952943
119	2.784513423
120	2.783459233
121	2.782623544
122	2.78199672
123	2.781453716
124	2.780384158
125	2.779776241
126	2.778947315
127	2.778524527
128	2.777902337
129	2.777056258
130	2.775610118
131	2.774895522
132	2.774142021
133	2.772547044
134	2.771417111
135	2.770615792
136	2.770211664
137	2.769366244
138	2.768630607
139	2.768043114
140	2.767008171
141	2.766039888
142	2.764964139
143	2.763508392
144	2.762126379
145	2.760862178
146	2.75960776
147	2.758882269
148	2.757829104
149	2.756619607
150	2.755960801
151	2.755133423
152	2.754201748
153	2.753284323
154	2.752818739
155	2.75133069
156	2.750713199
157	2.750169775
158	2.749949653
159	2.74910091
160	2.747963194
161	2.747157669
162	2.746192701
163	2.74549259
164	2.745354904
165	2.744619271
166	2.744081634
167	2.741999308
168	2.741175697
169	2.740165305
170	2.739425462
171	2.73855776
172	2.737486336
173	2.73574013
174	2.734712384
175	2.734161999
176	2.733654805
177	2.732443846
178	2.731710861
179	2.731286359
180	2.729847499
181	2.729278003
182	2.728455104
183	2.727907991
184	2.727221118
185	2.725867948
186	2.724594896
187	2.722951582
188	2.721937611
189	2.721456187
190	2.720800564
191	2.720195952
192	2.720026673
193	2.719113814
194	2.718870852
195	2.717611798
196	2.717201569
197	2.716678916
198	2.716107683
199	2.715183674
200	2.714870603
201	2.714757979
202	2.71372877
203	2.712664563
204	2.712560173
205	2.711500406
206	2.709761902
207	2.708263108
208	2.708065265
209	2.706803659
210	2.705795563
211	2.704817117
212	2.703351533
213	2.702137238
214	2.702085486
215	2.701206447
216	2.69963992
217	2.698475808
218	2.697741007
219	2.696947194
220	2.695666111
221	2.694659469
222	2.693217486
223	2.691420423
224	2.69001673
225	2.689868136
226	2.688497103
227	2.687545936
228	2.686332351
229	2.685138093
230	2.683916042
231	2.682981984
232	2.682155032
233	2.681034461
234	2.680417991
235	2.680355662
236	2.679427553
237	2.678217748
238	2.676644378
239	2.676393649
240	2.675708868
241	2.674435143
242	2.672903942
243	2.671335048
244	2.670282134
245	2.67021037
246	2.669112222
247	2.667969878
248	2.667918718
249	2.667020575
250	2.665521283
251	2.664469671
252	2.663392134
253	2.662108721
254	2.661238475
255	2.660034819
256	2.658797385
257	2.657748059
258	2.656760685
259	2.655923372
260	2.655131963
261	2.654321809
262	2.653282358
263	2.652097831
264	2.650647982
265	2.649387479
266	2.648232018
267	2.647495468
268	2.64651542
269	2.64548786
270	2.644315921
271	2.643724969
272	2.643132122
273	2.642180704
274	2.641039435
275	2.639784269
276	2.639742806
277	2.638567629
278	2.637556008
279	2.63688695
280	2.636030924
281	2.63490012
282	2.633888343
283	2.633795813
284	2.632907106
285	2.632129955
286	2.630918958
287	2.629873245
288	2.62887401
289	2.627555491
290	2.626393069
291	2.625356707
292	2.624012089
293	2.623883615
294	2.622928897
295	2.621887129
296	2.620849273
297	2.619937403
298	2.619825614
299	2.618996985
300	2.617741115
301	2.616729475
302	2.616545643
303	2.615969834
304	2.615117334
305	2.613883833
306	2.612883713
307	2.611676368
308	2.610756016
309	2.609027065
310	2.60794444
311	2.606984785
312	2.605983842
313	2.604566671
314	2.604100271
315	2.603036488
316	2.601876985
317	2.601080549
318	2.600038435
319	2.599199686
320	2.598281763
321	2.597132527
322	2.596426737
323	2.595599588
324	2.594811246
325	2.594180675
326	2.593803757
327	2.592827227
328	2.592242124
329	2.590564028
330	2.589480378
331	2.588503263
332	2.588400656
333	2.587753272
334	2.587714413
335	2.586696348
336	2.585700041
337	2.584894996
338	2.583735284
339	2.583077859
340	2.583048932
341	2.582692512
342	2.582045844
343	2.581153505
344	2.579963238
345	2.579034896
346	2.577783039
347	2.577255773
348	2.575688084
349	2.574342722
350	2.573801579
351	2.572482651
352	2.571578895
353	2.570285195
354	2.569675277
355	2.56888402
356	2.568196808
357	2.566995068
358	2.566313641
359	2.565225234
360	2.565195958
361	2.56431244
362	2.563575951
363	2.562619261
364	2.562140076
365	2.560819838
366	2.559812062
367	2.559603855
368	2.558380802
369	2.557475176
370	2.556443049
371	2.555725146
372	2.554420101
373	2.55373064
374	2.552784579
375	2.551932223
376	2.55056938
377	2.549415578
378	2.547885483
379	2.547527382
380	2.546560337
381	2.545550234
382	2.54479765
383	2.543918056
384	2.54309741
385	2.542215361
386	2.541163442
387	2.54007865
388	2.538851574
389	2.538154694
390	2.537547653
391	2.537520611
392	2.536198781
393	2.535481574
394	2.53408158
395	2.533145719
396	2.532496063
397	2.5318607
398	2.53063245
399	2.529536806
400	2.528494312
401	2.527626268
402	2.527157142
403	2.526244662
404	2.525303325
405	2.52446111
406	2.523702031
407	2.523663928
408	2.523083189
409	2.522185731
410	2.521218879
411	2.520242678
412	2.519849991
413	2.518924206
414	2.517896527
415	2.51715357
416	2.515913787
417	2.515169415
418	2.514602064
419	2.513527461
420	2.51242147
421	2.511766368
422	2.510613428
423	2.510060615
424	2.509524704
425	2.50843572
426	2.507861331
427	2.506940937
428	2.506901042
429	2.505934187
430	2.505430258
431	2.504712743
432	2.503888878
433	2.503363289
434	2.502833649
435	2.501721674
436	2.500785954
437	2.500181935
438	2.499443175
439	2.498734608
440	2.49833478
441	2.497531037
442	2.496741678
443	2.496165416
444	2.495281062
445	2.494484513
446	2.493507678
447	2.492679703
448	2.491593373
449	2.490690218
450	2.489857818
451	2.488957676
452	2.488576323
453	2.488228015
454	2.487121518
455	2.486332698
456	2.484960824
457	2.484076757
458	2.483045999
459	2.48214218
460	2.481205543
461	2.48053044
462	2.479576214
463	2.479267096
464	2.47858931
465	2.47826273
466	2.477909831
467	2.476966154
468	2.475903989
469	2.47543268
470	2.474794452
471	2.473947568
472	2.473076785
473	2.472998134
474	2.472484215
475	2.471992156
476	2.471735016
477	2.470832517
478	2.470286274
479	2.469605447
480	2.469058873
481	2.46798705
482	2.467542401
483	2.466253535
484	2.465378867
485	2.464422285
486	2.463856507
487	2.463806441
488	2.463325352
489	2.462454389
490	2.462094164
491	2.461454155
492	2.460946882
493	2.460134418
494	2.459854924
495	2.459215918
496	2.458418363
497	2.45744447
498	2.456539547
499	2.455522654
500	2.455065049
501	2.454223918
502	2.453508658
503	2.452447196
