iter	Passed	Remaining
0	60	60161
1	63	31704
2	66	22117
3	69	17380
4	72	14455
5	75	12564
6	78	11199
7	81	10166
8	84	9355
9	87	8705
10	90	8163
11	93	7734
12	96	7352
13	99	7042
14	102	6756
15	105	6517
16	108	6301
17	111	6104
18	114	5926
19	117	5775
20	120	5628
21	123	5501
22	126	5385
23	129	5282
24	132	5176
25	135	5088
26	139	5010
27	142	4932
28	145	4861
29	148	4791
30	151	4725
31	154	4660
32	157	4605
33	160	4547
34	163	4497
35	166	4447
36	168	4396
37	171	4348
38	174	4306
39	177	4263
40	180	4225
41	183	4187
42	186	4150
43	189	4113
44	192	4080
45	195	4049
46	198	4018
47	201	3990
48	204	3962
49	207	3935
50	210	3908
51	212	3882
52	216	3863
53	219	3843
54	222	3829
55	226	3810
56	229	3794
57	232	3773
58	235	3753
59	238	3730
60	241	3713
61	244	3694
62	247	3677
63	250	3659
64	253	3645
65	256	3631
66	259	3618
67	262	3602
68	265	3586
69	268	3571
70	271	3555
71	274	3540
72	277	3524
73	280	3509
74	283	3493
75	286	3478
76	289	3466
77	292	3454
78	295	3441
79	298	3430
80	301	3416
81	304	3404
82	307	3392
83	310	3381
84	313	3370
85	315	3358
86	319	3347
87	321	3336
88	324	3323
89	327	3311
90	330	3299
91	333	3288
92	336	3279
93	339	3269
94	342	3258
95	344	3247
96	347	3237
97	350	3228
98	353	3221
99	356	3211
100	359	3201
101	362	3194
102	365	3184
103	368	3175
104	371	3166
105	374	3156
106	377	3148
107	380	3139
108	382	3130
109	385	3121
110	388	3113
111	391	3105
112	394	3097
113	397	3089
114	400	3082
115	403	3073
116	406	3066
117	409	3057
118	411	3050
119	415	3043
120	418	3037
121	421	3030
122	424	3024
123	427	3018
124	430	3012
125	433	3004
126	436	2999
127	439	2994
128	442	2989
129	445	2983
130	448	2976
131	451	2969
132	454	2963
133	457	2957
134	460	2951
135	463	2945
136	466	2939
137	469	2935
138	473	2931
139	476	2926
140	479	2919
141	482	2914
142	485	2907
143	488	2901
144	490	2894
145	493	2889
146	496	2882
147	499	2876
148	502	2870
149	505	2865
150	508	2858
151	511	2852
152	514	2846
153	517	2841
154	520	2835
155	523	2830
156	525	2823
157	528	2818
158	531	2812
159	534	2807
160	537	2801
161	540	2797
162	543	2792
163	547	2788
164	550	2783
165	553	2779
166	556	2773
167	559	2768
168	561	2762
169	564	2758
170	568	2753
171	571	2750
172	574	2745
173	577	2741
174	580	2735
175	583	2731
176	586	2726
177	589	2722
178	592	2717
179	595	2714
180	598	2709
181	601	2704
182	604	2699
183	607	2694
184	610	2688
185	613	2684
186	616	2678
187	619	2673
188	621	2668
189	624	2663
190	627	2659
191	630	2655
192	633	2650
193	636	2645
194	639	2640
195	642	2636
196	645	2631
197	648	2627
198	651	2622
199	654	2618
200	657	2612
201	660	2608
202	663	2604
203	666	2599
204	669	2594
205	672	2590
206	675	2586
207	678	2582
208	680	2577
209	683	2573
210	686	2567
211	689	2563
212	692	2559
213	695	2555
214	698	2551
215	701	2547
216	704	2542
217	707	2538
218	710	2534
219	713	2530
220	716	2526
221	719	2523
222	722	2518
223	726	2515
224	729	2512
225	732	2508
226	735	2504
227	738	2499
228	741	2496
229	744	2491
230	747	2487
231	750	2484
232	753	2480
233	756	2476
234	759	2472
235	762	2468
236	765	2463
237	767	2458
238	770	2454
239	773	2450
240	776	2445
241	779	2441
242	782	2436
243	785	2432
244	788	2428
245	790	2423
246	793	2419
247	796	2415
248	799	2411
249	802	2407
250	805	2402
251	808	2399
252	811	2395
253	814	2391
254	817	2387
255	820	2383
256	823	2379
257	826	2376
258	828	2371
259	832	2368
260	834	2363
261	837	2360
262	840	2356
263	844	2353
264	847	2350
265	850	2346
266	853	2342
267	856	2338
268	858	2333
269	861	2330
270	864	2326
271	867	2322
272	870	2319
273	873	2315
